Előadó,Cím,Streams
The Chainsmokers - Don't Let Me Down,,2235837600
XXXTENTACION - Moonlight,,2233229306
Danny Ocean - Me Rehúso,,2224126278
Mariah Carey - All I Want for Christmas Is You,,2221952744
Maroon 5 - Maps,,2215211903
Imagine Dragons - Radioactive,,2206201205
WALK THE MOON - Shut Up and Dance,,2198353270
Arctic Monkeys - Why'd You Only Call Me When You're High?,,2189765688
Maroon 5 - Sugar,,2186404842
Creedence Clearwater Revival - Have You Ever Seen The Rain,,2184684185
Conan Gray - Heather,,2179211102
Lucenzo - Vem Dancar Kuduro,,2176828030
Post Malone - Better Now,,2175391545
Tame Impala - The Less I Know The Better,,2162522824
Coldplay - A Sky Full of Stars,,2161224935
Lauv - I Like Me Better,,2160052361
"Earth, Wind & Fire - September",,2157860949
Adele - Set Fire to the Rain,,2154734706
Teddy Swims - Lose Control,,2154021152
Maroon 5 - Payphone,,2152397745
OneRepublic - I Ain't Worried,,2151081166
BTS - Dynamite,,2150903656
Bad Bunny - Me Porto Bonito,,2148557216
Ruth B. - Dandelions,,2148391988
Travis Scott - HIGHEST IN THE ROOM,,2147773556
The Walters - I Love You So,,2145563222
Cigarettes After Sex - Apocalypse,,2134289831
Calvin Harris - This Is What You Came For,,2132599569
Sia - Chandelier,,2122469807
"Ariana Grande - thank u, next",,2122305763
Olivia Rodrigo - traitor,,2119673287
Lil Nas X - MONTERO (Call Me By Your Name),,2114292438
SAINt JHN - Roses (Imanbek Remix),,2112397013
ROSÉ - APT.,,2112264787
Jimin - Who,,2108874618
24kGoldn - Mood,,2108061317
Twenty One Pilots - Heathens,,2105707442
Twenty One Pilots - Ride,,2104811869
AC/DC - Highway to Hell,,2101285964
Christina Perri - a thousand years,,2100694200
Olivia Rodrigo - deja vu,,2095387817
David Guetta - Titanium,,2093247201
Lana Del Rey - Summertime Sadness,,2093184800
ZAYN - Dusk Till Dawn,,2092865704
Justin Bieber - Ghost,,2084135015
The Weeknd - I Feel It Coming,,2082054196
Ed Sheeran - I Don't Care,,2079917689
One Direction - Night Changes,,2079619447
Alec Benjamin - Let Me Down Slowly,,2078224748
Gorillaz - Feel Good Inc.,,2075718152
Bon Jovi - Livin' On A Prayer,,2070963249
Dean Lewis - Be Alright,,2068868914
5 Seconds of Summer - Youngblood,,2061093642
The Weeknd - Can't Feel My Face,,2058327181
Kendrick Lamar - Money Trees,,2055956628
The White Stripes - Seven Nation Army,,2055881626
Ed Sheeran - Bad Habits,,2049024000
Tate McRae - greedy,,2045267486
Sia - Cheap Thrills,,2044729010
OMI - Cheerleader (Felix Jaehn Remix),,2043228420
Måneskin - Beggin',,2040123167
XXXTENTACION - Fuck Love,,2040029671
Rihanna - Umbrella,,2033781899
Eagles - Hotel California,,2032098788
Miley Cyrus - Party In The U.S.A.,,2029443652
Drake - Passionfruit,,2027338957
Luis Fonsi - Despacito,,2026405065
AC/DC - Thunderstruck,,2024985949
Juice WRLD - All Girls Are The Same,,2023336128
benny blanco - Eastside,,2019743188
The Weeknd - Save Your Tears (Remix),,2018939863
The Weeknd - Earned It (Fifty Shades Of Grey),,2017871425
Queen - Under Pressure,,2015425557
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),,2012315025
Doja Cat - Woman,,2006824106
Eminem - Love The Way You Lie,,2006167088
AC/DC - Back In Black,,2005660142
Billie Eilish - everything i wanted,,1990050444
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52/66",,1988984192
Danny Ocean - Me Rehúso,,1988553658
Frank Ocean - Pink + White,,1985622369
Billie Eilish - ocean eyes,,1981503594
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",,1978931850
Pitbull - Timber,,1973005902
Future - Mask Off,,1966113338
Rihanna - Love On The Brain,,1962783524
Maroon 5 - Moves Like Jagger,,1960466927
"Train - Hey, Soul Sister",,1954925514
Coldplay - Fix You,,1954785174
Ava Max - Sweet but Psycho,,1953938182
The Neighbourhood - Daddy Issues,,1953569014
MAGIC! - Rude,,1951252899
50 Cent - In Da Club,,1951029148
Ed Sheeran - Shivers,,1945459963
Harry Styles - Adore You,,1943369776
Justin Bieber - What Do You Mean?,,1942164886
Keane - Somewhere Only We Know,,1941609345
Powfu - death bed (coffee for your head),,1938941904
Harry Styles - Sign of the Times,,1938424883
Daniel Caesar - Best Part,,1937299646
Calvin Harris - Summer,,1936842993
Kings of Leon - Sex on Fire,,1935917700
Wham! - Last Christmas,,1926212398
Taylor Swift - Anti-Hero,,1925061622
Lady Gaga - Poker Face,,1923483647
Bastille - Pompeii,,1918607088
Black Eyed Peas - I Gotta Feeling,,1917513568
Backstreet Boys - I Want It That Way,,1915895123
DNCE - Cake By The Ocean,,1915877378
Ariana Grande - One Last Time,,1915340626
Taylor Swift - Lover,,1909791894
Miguel - Sure Thing,,1903479703
Bruno Mars - Talking to the Moon,,1902139298
Childish Gambino - Redbone,,1898290030
Imagine Dragons - Enemy,,1888687641
Metallica - Enter Sandman,,1888020463
Maroon 5 - She Will Be Loved,,1885985425
Tate McRae - you broke me first,,1879482113
Dream Supplier - Clean Baby Sleep White Noise (Loopable),,1873931846
The Walters - I Love You So,,1871453144
Offset - Ric Flair Drip,,1871413644
Beyoncé - Halo,,1864962502
XXXTENTACION - Everybody Dies In Their Nightmares,,1863133715
Post Malone - Wow.,,1862494843
The Script - Hall of Fame,,1862312964
Lana Del Rey - Young And Beautiful,,1860474570
Steve Lacy - Dark Red,,1858644564
Marshmello - Silence,,1857743024
FloyyMenor - Gata Only,,1854101377
Lil Tecca - Ransom,,1852283183
Bad Bunny - Tití Me Preguntó,,1851614287
Sam Smith - Unholy,,1851441053
Justin Bieber - Peaches,,1850788168
"Chappell Roan - Good Luck, Babe!",,1847358374
Luis Fonsi - Despacito,,1846600566
Pitbull - Give Me Everything,,1841850215
USHER - Yeah!,,1839207856
System Of A Down - Chop Suey!,,1838065212
Panic! At The Disco - High Hopes,,1838031834
Carly Rae Jepsen - Call Me Maybe,,1837974085
Khalid - Young Dumb & Broke,,1836859600
Milky Chance - Stolen Dance,,1831841342
Red Hot Chili Peppers - Californication,,1831431852
Katy Perry - Dark Horse,,1831043677
XXXTENTACION - Revenge,,1830735935
Taylor Swift - cardigan,,1827490723
R.E.M. - Losing My Religion,,1821867701
Nirvana - Come As You Are,,1817806355
Coldplay - Hymn for the Weekend,,1817201159
XXXTENTACION - Hope,,1814310865
ABBA - Dancing Queen,,1813902089
Trevor Daniel - Falling,,1812869865
Travis Scott - BUTTERFLY EFFECT,,1811254811
Eurythmics - Sweet Dreams (Are Made of This),,1808131957
Zara Larsson - Lush Life,,1804183377
Eminem - Godzilla,,1802744685
Rihanna - Needed Me,,1800452978
Kanye West - Heartless,,1800147271
Cardi B - I Like It,,1799945060
Dua Lipa - IDGAF,,1797416563
Rihanna - Diamonds,,1795647556
Maroon 5 - Girls Like You,,1794232336
Red Hot Chili Peppers - Under the Bridge,,1791315559
One Direction - Story of My Life,,1790557643
Clean Bandit - Rockabye,,1787656027
MUSIC LAB JPN - Cake By The Ocean,,1786988123
Sia - Unstoppable,,1784681617
Clean Bandit - Symphony,,1783533642
Bad Bunny - Ojitos Lindos,,1783235349
Creedence Clearwater Revival - Fortunate Son,,1781615426
Bruno Mars - 24K Magic,,1779447094
Ariana Grande - Into You,,1778541903
Post Malone - I Fall Apart,,1777291593
Major Lazer - Cold Water,,1776230512
Djo - End of Beginning,,1775991963
Mitski - My Love Mine All Mine,,1775449627
P!nk - Just Give Me a Reason,,1773764407
Dr. Dre - Still D.R.E.,,1770465795
Rema - Calm Down,,1769912843
Anne-Marie - 2002,,1769237858
Bruno Mars - Grenade,,1764494903
DJ Snake - Taki Taki,,1759931540
Maroon 5 - Animals,,1759238445
DaBaby - ROCKSTAR,,1757706279
Rihanna - Stay,,1756822695
Taylor Swift - Shake It Off,,1756076367
Adele - Hello,,1756070208
Kendrick Lamar - LOVE. FEAT. ZACARI.,,1754378972
Hozier - Too Sweet,,1754277831
d4vd - Romantic Homicide,,1752162538
Britney Spears - Toxic,,1751352245
Pitbull - Time of Our Lives,,1746446537
Capital Cities - Safe And Sound,,1745235894
Bryson Tiller - Don't,,1743816037
Marvin Gaye - Ain't No Mountain High Enough,,1742638055
SZA - Snooze,,1741366555
Lady Gaga - Always Remember Us This Way,,1738422709
Ellie Goulding - Love Me Like You Do,,1737803203
The Weeknd - One Of The Girls,,1736785430
Gorillaz - Feel Good Inc.,,1736285261
Lil Baby - Drip Too Hard,,1735953024
One Direction - What Makes You Beautiful,,1735198024
Farruko - Pepas,,1735187289
Chris Brown - Under The Influence,,1731208153
Outkast - Hey Ya!,,1729684354
Coldplay - Sparks,,1728700389
White Noise Baby Sleep - Clean White Noise,,1727662627
Ariana Grande - Side To Side,,1726586193
Kendrick Lamar - Not Like Us,,1725478860
Coldplay - Paradise,,1720509901
JAY-Z - Ni**as In Paris,,1713730461
"Snoop Dogg - Young, Wild & Free (feta. Bruno Mars)",,1712600072
Billie Eilish - Happier Than Ever,,1711425085
Nelly Furtado - Promiscuous,,1710073203
Evanescence - Bring Me To Life,,1709035548
Red Hot Chili Peppers - Can't Stop,,1708855318
The Beatles - Here Comes The Sun,,1708600238
Bad Bunny - Callaita,,1708456521
Rauw Alejandro - Todo De Ti,,1707049310
Beyoncé - Crazy In Love,,1704077774
J Balvin - Mi Gente,,1703891174
Lady Gaga - Bad Romance,,1699047034
Avicii - Waiting For Love,,1694485496
Zedd - The Middle,,1687486466
Ariana Grande - we can't be friends (wait for your love),,1685806138
Kesha - TiK ToK,,1685049715
Black Eyed Peas - I Gotta Feeling,,1684884381
Kanye West - Stronger,,1680953371
Katy Perry - Last Friday Night (T.G.I.F.),,1678500294
JHAYCO - No Me Conoce,,1675264787
Alessia Cara - Scars To Your Beautiful,,1674418922
Dynoro - In My Mind,,1674202848
Imagine Dragons - Bones,,1672948388
Metro Boomin - Creepin',,1671676588
Survivor - Eye of the Tiger,,1665563744
Pharrell Williams - Happy,,1664584356
Ariana Grande - positions,,1663425882
Clean Bandit - Rather Be,,1663336355
KAROL G - Tusa,,1662939927
Taylor Swift - august,,1659928995
Martin Garrix - In the Name of Love,,1657505222
Snow Patrol - Chasing Cars,,1656689573
XXXTENTACION - Look At Me!,,1656479237
Joji - Glimpse of Us,,1655413651
Noah Kahan - Stick Season,,1655194982
Sabrina Carpenter - Please Please Please,,1654973467
Khalid - Better,,1653573831
NF - Let You Down,,1653132075
Billie Eilish - WILDFLOWER,,1651045943
Gym Class Heroes - Stereo Hearts,,1648941346
d4vd - Here With Me,,1644977397
Kygo - It Ain’t Me,,1643228717
Lil Nas X - Old Town Road,,1641729944
Post Malone - Psycho,,1639085003
Calvin Harris - Outside,,1634886565
MKTO - Classic,,1634275044
Fifth Harmony - Work from Home,,1630300191
Lost Frequencies - Where Are You Now,,1628493295
David Kushner - Daylight,,1627434955
Various Artists -,,1627434955
Rihanna - Only Girl (In The World),,1618078783
ZAYN - PILLOWTALK,,1617786729
The Cranberries - Zombie,,1617279290
Dire Straits - Sultans Of Swing,,1613212071
Natasha Bedingfield - Unwritten,,1610803371
Portugal. The Man - Feel It Still,,1610549368
The Lumineers - Ho Hey,,1609730578
Maluma - Hawái,,1608150166
Rihanna - Work,,1607993273
KAROL G - PROVENZA,,1605495592
Jessie J - Bang Bang,,1604465149
Jonas Brothers - Sucker,,1601690456
Joji - SLOW DANCING IN THE DARK,,1601321987
Bruno Mars - Leave The Door Open,,1601263130
Shawn Mendes - Mercy,,1596300556
Imagine Dragons - Whatever It Takes,,1592327526
Jimin - Who,,1590630006
Queen - We Will Rock You,,1589159986
Arizona Zervas - ROXANNE,,1586857650
Lynyrd Skynyrd - Sweet Home Alabama,,1586247619
Marshmello - FRIENDS,,1585754227
A$AP Rocky - Praise The Lord (Da Shine),,1583629322
Lil Peep - Falling Down,,1583571181
Sam Smith - Dancing With A Stranger,,1579283330
The Fray - How to Save a Life,,1578501347
Bad Bunny - Yonaguni,,1578188930
"The Rolling Stones - Paint It, Black",,1573220128
Lady Gaga - Just Dance,,1571502559
Adele - When We Were Young,,1566950343
Bad Bunny - Efecto,,1566098414
Regard - Ride It,,1565222974
Daddy Yankee - Con Calma,,1564930181
The Lumineers - Ophelia,,1564864006
Taylor Swift - Style,,1561897966
Axwell /\ Ingrosso - More Than You Know,,1561301597
Surf Curse - Freaks,,1560210854
AC/DC - You Shook Me All Night Long,,1556044353
Foo Fighters - Everlong,,1555031203
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),,1553960192
Bryan Adams - Summer Of '69,,1553903753
Nickelback - How You Remind Me,,1553444726
Khalid - Location,,1551087277
Steve Lacy - Bad Habit,,1550296814
Drake - Hotline Bling,,1544347430
Cyndi Lauper - Girls Just Want to Have Fun,,1543313390
Pitbull - Give Me Everything,,1542861219
SZA - Good Days,,1541943738
Cyndi Lauper - Girls Just Wanna Have Fun,,1541311842
Lil Peep - Star Shopping,,1540305594
Sean Paul - No Lie,,1539876598
Maroon 5 - This Love,,1538380075
Guns N' Roses - Welcome To The Jungle,,1538272671
Fleetwood Mac - The Chain,,1536827716
Ed Sheeran - Castle on the Hill,,1534978954
Michael Jackson - Beat It,,1534671562
"G-Eazy - Me, Myself & I",,1530454752
Coldplay - My Universe,,1529347046
Kanye West - Flashing Lights,,1529227178
Tyga - Taste,,1529100872
Kali Uchis - telepatía,,1525912767
TV Girl - Lovers Rock,,1522448894
"gnash - i hate u, i love u",,1521156653
Bebe Rexha - Meant to Be,,1521033948
Ed Sheeran - Galway Girl,,1520647727
Beach House - Space Song,,1517714804
Ed Sheeran - Beautiful People,,1517373995
FloyyMenor - Gata Only,,1516510630
Juice WRLD - Robbery,,1515480421
Olivia Rodrigo - happier,,1509561195
girl in red - we fell in love in october,,1508745470
Taylor Swift - Don’t Blame Me,,1505830396
Metallica - Nothing Else Matters,,1505536945
Shaboozey - A Bar Song (Tipsy),,1505304333
Black Sabbath - Paranoid,,1503225857
Macklemore & Ryan Lewis - Thrift Shop,,1501800633
Macklemore & Ryan Lewis - Thrift Shop,,1501800633
J. Cole - Wet Dreamz,,1501216530
Selena Gomez - Wolves,,1501126860
Akon - Smack That,,1500440437
Major Lazer - Light It Up (Remix),,1499811848
Hotel Ugly - Shut up My Moms Calling,,1498734221
Ariana Grande - no tears left to cry,,1498470909
Ben E. King - Stand By Me,,1496424871
Internet Money - Lemonade,,1494718056
Olivia Rodrigo - vampire,,1493426655
Bad Bunny - MIA,,1493293311
KALEO - Way down We Go,,1488531506
Rihanna - S&M,,1488390937
Cardi B - WAP,,1488341781
KAROL G - Si Antes Te Hubiera Conocido,,1487617311
The Notorious B.I.G. - Hypnotize,,1486863042
Eslabon Armado - Ella Baila Sola,,1486862478
Drake - In My Feelings,,1486610808
XXXTENTACION - changes,,1486584345
George Ezra - Budapest,,1485872145
Kate Bush - Running Up That Hill (A Deal With God),,1484496418
Imagine Dragons - Natural,,1483634818
Gigi Perez - Sailor Song,,1483085812
Elton John - I'm Still Standing,,1479282525
Daniel Caesar - Get You,,1479147400
Aerosmith - Dream On,,1475461844
Red Hot Chili Peppers - Can't Stop,,1473241721
Ariana Grande - Dangerous Woman,,1472637384
J. Cole - MIDDLE CHILD,,1471006679
"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",,1468815078
Calvin Harris - How Deep Is Your Love,,1468728356
JVKE - golden hour,,1468640678
Robin Schulz - Sugar,,1466985931
Harry Styles - Falling,,1466859524
The Weeknd - Stargirl Interlude,,1466824393
Fetty Wap - Trap Queen,,1465786006
Nicki Minaj - Starships,,1464241887
Doja Cat - Paint The Town Red,,1461051484
Logic - 1-800-273-8255,,1460061378
fun. - We Are Young,,1457254071
Calum Scott - Dancing On My Own,,1455757529
GIVĒON - Heartbreak Anniversary,,1455429870
Duncan Laurence - Arcade,,1454808555
Travis Scott - FE!N,,1453983289
Ice Cube - It Was A Good Day,,1453530035
Plan B - Es un Secreto,,1453420399
Ed Sheeran - Happier,,1451665713
Rihanna - Don't Stop The Music,,1451024446
Katy Perry - Roar,,1450664492
Lil Mosey - Blueberry Faygo,,1450230743
Bad Bunny - Moscow Mule,,1450013218
Papa Roach - Last Resort,,1449808647
Feid - LUNA,,1449706588
Fall Out Boy - Centuries,,1447962817
Martin Garrix - Scared to Be Lonely,,1447831915
The Neighbourhood - Softcore,,1446509868
Frank Ocean - Thinkin Bout You,,1442334070
Amy Winehouse - Back To Black,,1441819853
Bon Jovi - You Give Love A Bad Name,,1441018844
Sabrina Carpenter - Nonsense,,1440508416
Alicia Keys - If I Ain't Got You,,1437940206
TLC - No Scrubs,,1437721215
blink-182 - All The Small Things,,1434869312
Bruno Mars - Marry You,,1433756475
Outkast - Ms. Jackson,,1433176479
Flo Rida - Low,,1431199337
Doja Cat - Streets,,1430610711
Olivia Rodrigo - favorite crime,,1428188362
ROSÉ - APT.,,1427866012
Drake - Nice For What,,1426865924
Lorde - Royals,,1425744413
Green Day - Basket Case,,1425041187
Kanye West - Gold Digger,,1423447864
Evanescence - Bring Me To Life,,1422280990
Zach Bryan - Something in the Orange,,1420497962
Gracie Abrams - That’s So True,,1418580764
Artemas - i like the way you kiss me,,1416292759
Frank Ocean - Lost,,1416107862
Selena Gomez - Lose You To Love Me,,1413628597
Djo - End of Beginning,,1413619520
The Verve - Bitter Sweet Symphony,,1413416288
Post Malone - Goodbyes,,1410719863
Katy Perry - Firework,,1408159536
Van Morrison - Brown Eyed Girl,,1406983521
Kanye West - Father Stretch My Hands Pt. 1,,1406640329
Calvin Harris - Feel So Close,,1406554660
"Chappell Roan - Good Luck, Babe!",,1405833120
Stephen Sanchez - Until I Found You,,1404129167
Coldplay - Adventure of a Lifetime,,1403958100
Jimin - Like Crazy,,1403137296
Grupo Frontera - un x100to,,1402104143
BTS - Butter,,1401661636
"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)",,1400276589
Kendrick Lamar - DNA.,,1400272681
KISS - I Was Made For Lovin' You,,1399082991
Future - Life Is Good,,1397997279
The Chainsmokers - Paris,,1395580922
Eminem - Stan,,1391112031
Dua Lipa - Break My Heart,,1390634185
JAY-Z - Empire State Of Mind,,1387707911
Doja Cat - Need to Know,,1384633607
Rauw Alejandro - Desesperados,,1383307790
Elley Duhé - MIDDLE OF THE NIGHT,,1383140046
System Of A Down - Toxicity,,1383116644
Disclosure - Latch,,1383057292
Måneskin - I WANNA BE YOUR SLAVE,,1382436390
Taylor Swift - Look What You Made Me Do,,1382151942
blackbear - hot girl bummer,,1381511726
KAROL G - TQG,,1380882199
M83 - Midnight City,,1378538950
George Michael - Careless Whisper,,1377660479
Various Artists -,,1377058146
Maroon 5 - What Lovers Do,,1375331030
Masked Wolf - Astronaut In The Ocean,,1375134906
Loud Luxury - Body,,1374445669
Jay Wheeler - La Curiosidad,,1373001123
Hoobastank - The Reason,,1371402906
Morgan Wallen - Last Night,,1370676223
Spice Girls - Wannabe,,1370593456
The Notorious B.I.G. - Big Poppa,,1370364397
Justin Timberlake - Mirrors,,1369514040
Swedish House Mafia - Don't You Worry Child,,1369491683
Zedd - Stay,,1365396340
Florence + The Machine - Dog Days Are Over,,1364719598
DJ Khaled - I'm the One,,1364595166
Bruno Mars - It Will Rain,,1363452809
LISA - MONEY,,1362906939
The Weeknd - I Was Never There,,1360594438
Lil Uzi Vert - 20 Min,,1357494129
Gnarls Barkley - Crazy,,1355093713
Justin Bieber - Baby,,1354300599
Kodaline - All I Want,,1354271309
Joel Corry - Head & Heart,,1353706561
Justin Bieber - Intentions,,1352839666
James Bay - Let It Go,,1352745375
Coldplay - Clocks,,1352161014
Ariana Grande - Stuck with U,,1350137349
Natasha Bedingfield - Unwritten,,1349140772
Red Hot Chili Peppers - Otherside,,1348451848
Lost Frequencies - Are You With Me,,1347776225
Chris Stapleton - Tennessee Whiskey,,1347675209
Lilly Wood and The Prick - Prayer in C,,1345753246
JP Saxe - If the World Was Ending,,1343878230
Lewis Capaldi - Bruises,,1343363365
The Clash - Should I Stay or Should I Go,,1342538505
Justin Bieber - Beauty And A Beat,,1342012642
Red Hot Chili Peppers - Scar Tissue,,1341641797
Tiësto - The Business,,1340625844
Guns N' Roses - Paradise City,,1340450211
One Direction - Drag Me Down,,1340003974
The Weeknd - Reminder,,1339598576
Empire Of The Sun - Walking On A Dream,,1339541011
KAROL G - QLONA,,1338998786
Taio Cruz - Dynamite,,1335232146
DJ Khaled - Wild Thoughts,,1335165504
Rosa Linn - SNAP,,1334731207
Doja Cat - Say So,,1334686948
Jung Kook - Standing Next to You,,1331442759
Kungs - This Girl,,1329706338
Julia Michaels - Issues,,1329586537
The Outfield - Your Love,,1324678274
Tommy Richman - MILLION DOLLAR BABY,,1324599943
Meek Mill - Going Bad,,1324444527
Bee Gees - Stayin' Alive,,1323388604
U2 - With Or Without You,,1321102626
Anuel AA - China,,1320578149
Adele - Make You Feel My Love,,1318299412
Smash Mouth - All Star,,1317949974
"Beach Weather - Sex, Drugs, Etc.",,1316427193
Brenda Lee - Rockin' Around the Christmas Tree,,1316285331
Pop Smoke - What You Know Bout Love,,1314101545
Ariana Grande - Santa Tell Me,,1313031689
Post Malone - I Had Some Help (Feat. Morgan Wallen),,1312830206
Mario - Let Me Love You,,1312379316
Cage The Elephant - Cigarette Daydreams,,1311918022
Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],,1310597204
